SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHNG,%CHNG,VOLUME (shares),VALUE (₹ Crores),52W H,52W L,30 D   %CHNG,365 D % CHNG 06-Dec-2023
NLCINDIA,264.4,270.6,263.1,264.35,266.3,-,1.95,0.74,"10,83,859",28.95,311.8,177.15,3.28,44.14
TATASTEEL,147.5,148.68,146.6,147.07,148.1,-,1.03,0.7,"3,06,04,899",451.54,184.6,127.85,-3.43,11.54
UPL,557.85,566.25,556,558.2,562,-,3.8,0.68,"29,70,258",166.91,600.96,430.58,-0.15,-5.16
DIVISLAB,"6,140.00","6,192.95","6,105.10","6,096.20","6,134.00",-,37.8,0.62,"7,04,328",431.92,"6,285.45","3,350.00",4.9,63.24
LICI,977.9,992.95,975.2,976.9,982.85,-,5.95,0.61,"13,30,397",131.03,"1,222.00",714,5.2,30.95
APLAPOLLO,"1,572.00","1,581.95","1,560.00","1,568.35","1,577.20",-,8.85,0.56,"3,16,023",49.75,"1,728.95","1,305.00",3.42,-1.77
INDHOTEL,821.6,831.8,817,820.1,824.65,-,4.55,0.55,"24,06,124",198.92,831.8,416.9,22.77,87.26
GMRINFRA,84.35,85.28,84.08,84.03,84.45,-,0.42,0.5,"79,02,560",66.88,103.75,58.75,7.1,36.97
IDEA,8.09,8.22,7.97,8.08,8.12,-,0.04,0.5,"42,71,43,967",346.84,19.18,6.61,-0.74,-37.12
COCHINSHIP,"1,682.00","1,702.00","1,650.50","1,682.30","1,690.00",-,7.7,0.46,"4,03,528",67.95,"2,979.45",587.05,12.43,-
JSWSTEEL,999.9,"1,008.00",994.65,999.2,"1,003.60",-,4.4,0.44,"12,18,982",122.19,"1,063.00",761.75,-0.03,21.16
DLF,852.9,858.4,843,850.25,853.65,-,3.4,0.4,"26,04,765",222.08,967.6,641.45,6.41,30.22
INDUSTOWER,368,373.25,363,363.55,364.9,-,1.35,0.37,"1,68,16,288",618.91,460.35,176.55,6.25,95.77
